,,,config,category
520372031, client_big_img.txt,,,
520382734, client_med_img_2.txt,,,
520392890, client_small_txt_1.txt,,,
520401792,[[0.00e+00 5.84e+02 1.00e-10]],0.9877777777777778,1,2
520402937, client_var_big_img.txt,,,
520403909,[[0.00e+00 5.84e+02 1.00e-10]],0.9877777777777778,1,1
520407223,[[3.276757e+06 0.000000e+00 1.000000e+00]],0,0,3
520409574,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,0,2
520413609, client_var_med_img.txt,,,
520415302,[[3.87556200e+05 0.00000000e+00 3.32192809e+00]],0,0,1
520417437,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.6950000000000001,0,0
520419554,[[8.476e+04 0.000e+00 3.875e+00]],0.890625,0,0
520421628,[[8.476e+04 0.000e+00 4.000e+00]],0.8981250000000001,0,0
520423710,[[8.476e+04 0.000e+00 3.875e+00]],0.88625,0,1
520423750, client_big_img.txt,,,
520425921,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.6572727272727272,2,0
520428061,[[1.671167e+06 0.000000e+00 1.000000e-10]],0,2,2
520430252,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,3
520432397,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,1
520433859, client_med_img_2.txt,,,
520434491,[[1.33505820e+06 0.00000000e+00 9.70950594e-01]],0.401,2,0
520436609,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.29799999999999993,0,1
520438828,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.8361538461538461,0,3
520440937,[[8.24536e+05 0.00000e+00 1.00000e-10]],0,0,1
520443334,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.8323076923076923,0,1
520443937, client_small_txt_1.txt,,,
520445422,[[8.30895000e+05 9.18000000e+02 7.64204507e-01]],0.9866666666666667,0,1
520447541,[[0.00e+00 9.18e+02 1.00e-10]],0.9894444444444445,1,0
520449687,[[0.00e+00 9.18e+02 1.00e-10]],0.9661111111111111,1,3
520451900,[[0.00e+00 5.84e+02 1.00e-10]],0.94375,1,1
520453953, client_var_big_img.txt,,,
520454007,[[0.00e+00 9.18e+02 1.00e-10]],0.9894117647058823,1,2
520458778,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,2,0
520461395,[[3.2767570e+06 0.0000000e+00 2.5849625e+00]],0,2,3
520463704,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,2,1
520465515, client_var_med_img.txt,,,
520467435,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7114285714285714,0,2
520469562,[[6.697300e+04 0.000000e+00 3.169925e+00]],0.088888889,0,1
520471836,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.6857142857142857,0,0
520474056,[[8.476e+04 0.000e+00 4.000e+00]],0.903125,0,0
520475609, client_big_img.txt,,,
