time,workload,reward,category,action,,,,,,
521671203, client_big_img.txt,,,,,,,,,
521691281, client_med_img_2.txt,,,,,,,,,
521698621,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.6361538461538461,0,1,,,,,,
521700799,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.914,0,2,,,,,,
521702944,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8114285714285714,0,1,,,,,,
521705053,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.918,0,0,,,,,,
521707141,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.838125,0,1,,,,,,
521709260,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.94875,0,2,,,,,,
521711296, client_small_txt_1.txt,,,,,,,,,
521711346,[[8.24536000e+05 5.84000000e+02 8.36640742e-01]],0.8466666666666667,0,1,,,,,,
521713459,[[0.00e+00 9.18e+02 1.00e-10]],0.9888888888888889,1,0,,,,,,
521715543,[[0.00e+00 9.18e+02 1.00e-10]],0.9676470588235294,1,2,,,,,,
521717685,[[0.00e+00 5.84e+02 1.00e-10]],0.9861111111111112,1,3,,,,,,
521719773,[[0.00e+00 5.84e+02 1.00e-10]],0.936875,1,1,,,,,,
521721816,[[0.00e+00 9.18e+02 1.00e-10]],0.9888888888888889,1,2,,,,,,
521723892,[[0.00e+00 5.84e+02 1.00e-10]],0.9888888888888889,1,0,,,,,,
521725979,[[0.00e+00 9.18e+02 1.00e-10]],0.9682352941176471,1,3,,,,,,
521728104,[[0.00e+00 5.84e+02 1.00e-10]],0.93625,1,1,,,,,,
521730171,[[0.00e+00 9.18e+02 1.00e-10]],0.9905555555555555,1,2,,,,,,
521731312, client_var_big_img.txt,,,,,,,,,
521732249,[[3.27281400e+06 5.84000000e+02 5.91672779e-01]],0,2,0,,,,,,
521734804,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.17099999999999993,2,1,,,,,,
521736946,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,2,3,,,,,,
521739227,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,2,0,,,,,,
521741575,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.15200000000000002,2,1,,,,,,
521743698,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,2,2,,,,,,
521746003,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,2,3,,,,,,
521748885,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,2,0,,,,,,
521751221,[[2.95755730e+06 0.00000000e+00 3.32192809e+00]],0.18400000000000005,2,1,,,,,,
521751421, client_var_med_img.txt,,,,,,,,,
521753368,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7735714285714286,0,0,,,,,,
521755525,[[8.476e+04 0.000e+00 4.000e+00]],0.888125,0,2,,,,,,
521757626,[[6.69726667e+04 0.00000000e+00 3.58496250e+00]],0.5391666666666666,0,1,,,,,,
521759787,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7821428571428571,0,0,,,,,,
521761946,[[8.476e+04 0.000e+00 4.000e+00]],0.906875,0,0,,,,,,
521764006,[[8.476e+04 0.000e+00 4.000e+00]],0.9025,0,3,,,,,,
521766048,[[6.69728462e+04 0.00000000e+00 3.70043972e+00]],0.6176923076923077,0,1,,,,,,
521768138,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7642857142857142,0,2,,,,,,
521770187,[[6.69726923e+04 0.00000000e+00 3.70043972e+00]],0.5838461538461539,0,0,,,,,,
521771562, client_big_img.txt,,,,,,,,,
521772281,[[8.16947846e+05 0.00000000e+00 2.50738010e+00]],0.6753846153846155,2,1,,,,,,
521774491,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8821428571428571,2,2,,,,,,
521776622,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.5663636363636364,2,3,,,,,,
521778698,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,1,,,,,,
521780992,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8746153846153846,2,1,,,,,,
521783026,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9826666666666667,2,1,,,,,,
521785068,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9828571428571429,2,1,,,,,,
521787119,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9835714285714285,2,1,,,,,,
521789153,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9853333333333333,2,1,,,,,,
521791180,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9826666666666667,2,2,,,,,,
521791593, client_med_img_2.txt,,,,,,,,,
521793386,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8214285714285714,2,1,,,,,,
521795480,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.915,2,2,,,,,,
521797617,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.7992307692307692,2,1,,,,,,
521799756,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9226666666666666,2,2,,,,,,
521801860,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8061538461538462,2,1,,,,,,
521803896,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9246666666666666,2,0,,,,,,
521806027,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.6276923076923077,2,1,,,,,,
521808075,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9279999999999999,2,2,,,,,,
521810184,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8335714285714286,2,1,,,,,,
521811687, client_small_txt_1.txt,,,,,,,,,
521812309,[[8.30895000e+05 9.18000000e+02 9.88699408e-01]],0.928125,2,2,,,,,,
521814399,[[0.00e+00 5.84e+02 1.00e-10]],0.9905555555555555,1,0,,,,,,
521816482,[[0.00e+00 9.18e+02 1.00e-10]],0.9711111111111111,1,3,,,,,,
521818602,[[0.00e+00 5.84e+02 1.00e-10]],0.94,1,1,,,,,,
521820675,[[0.00e+00 9.18e+02 1.00e-10]],0.9894444444444445,1,2,,,,,,
521822748,[[0.00e+00 5.84e+02 1.00e-10]],0.9866666666666667,1,0,,,,,,
521824843,[[0.00e+00 9.18e+02 1.00e-10]],0.9683333333333334,1,3,,,,,,
521826948,[[0.00e+00 5.84e+02 1.00e-10]],0.936875,1,1,,,,,,
521828994,[[0.00e+00 9.18e+02 1.00e-10]],0.9894444444444445,1,2,,,,,,
521831066,[[0.00e+00 5.84e+02 1.00e-10]],0.9877777777777778,1,0,,,,,,
521831781, client_var_big_img.txt,,,,,,,,,
521833160,[[3.27675700e+06 9.18000000e+02 3.12192809e+00]],0.2609999999999999,3,1,,,,,,
521835204,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
